DATASET_GRADIENT

SEPARATOR TAB
DATASET_LABEL	PC1
COLOR	#ff0000


#COLOR_MIN	#0000ff
#COLOR_MAX	#ff0000

DATA
Neoniphon_sammara	-0.5603278779417908
Nuchequula_gerreoides	-1.2710136300338992
Negaprion_brevirostris	4.761330447655217
Membras_martinica	-1.847351410471125
Anolis_sagrei	-0.4313241342329869
Pomatoschistus_minutus	-1.9890175129875551
Eremias_argus	0.096389850085977
Abramis_brama	0.6075124257169227
Lamna_nasus	4.9919726759094125
Chriodorus_atherinoides	-1.914684747929217
Desmognathus_monticola	0.0574706933826837
Cephalopholis_argus	0.5801230300268703
Sardinella_gibbosa	-1.005257738264535
Auxis_thazard	-0.5444074336070863
Alepes_djedaba	-0.6146884640791559
Trimma_benjamini	-3.6162293400362016
Anaxyrus_fowleri	0.0955983917445465
Amphiprion_ocellaris	-0.7916631878636768
Epinephelus_malabaricus	1.0168933272385954
Cynoglossus_senegalensis	0.5014383848682848
Alepes_kleinii	-1.3310152141089078
Careproctus_reinhardti	0.5683183986529612
Ambystoma_maculatum	0.2468863882103844
Selar_crumenophthalmus	-0.5737526533570736
Pomatomus_saltatrix	0.1043101277055486
Encrasicholina_heteroloba	-2.386590098022397
Trachurus_mediterraneus	0.00687446864048
Rastrelliger_kanagurta	-0.9374626307279158
Anyperodon_leucogrammicus	0.4274953345699689
Etheostoma_perlongum	-1.97626828400495
Thryssa_setirostris	-2.140961774305162
Trachurus_picturatus	0.4370167628922516
Pennahia_argentata	-0.4171960871413194
Cyphomyrus_discorhynchus	0.236912247660784
Glossogobius_giuris	-0.5740719319109717
Hippocampus_zosterae	-2.586495398319821
Gambusia_holbrooki	-1.2820387673721911
Caranx_crysos	0.0291820356319234
Ocyurus_chrysurus	0.500858511242898
Dissostichus_eleginoides	2.725310925467283
Pomadasys_maculatus	-0.2122059665237875
Trematomus_scotti	0.6913566049904067
Chionobathyscus_dewitti	1.0533623150403633
Pseudoplatystoma_fasciatum	0.7736632560422435
Micropterus_dolomieu	0.5017956805999346
Stolephorus_waitei	-2.30416456270324
Culaea_inconstans	-1.5640709112686522
Macroramphosus_scolopax	-1.2223885342222245
Tyto_alba	1.7410584756914542
Stolephorus_commersonnii	-2.3027372836778053
Pollachius_virens	0.9930481412865968
Potamorhina_latior	-0.0149493984811576
Encrasicholina_punctifer	-2.012296355920024
Sillago_sihama	-0.9740974268648774
Harengula_clupeola	-0.5422331051134511
Eopsetta_jordani	0.7924585041183408
Glyptocephalus_stelleri	0.0598465220902375
Ameiurus_catus	1.0394771903728324
Peristedion_cataphractum	-0.4719930155450578
Rana_dalmatina	-0.4108214004470404
Gerlachea_australis	0.7466968090447142
Geochelone_elegans	2.6445046116444058
Trematomus_loennbergii	0.6184009913008464
Maccullochella_peelii	1.9415957531342327
Podocnemis_unifilis	3.02124936098746
Decapterus_punctatus	-0.7932866876672006
Acipenser_baerii	2.3673254945775595
Anaxyrus_americanus	-0.0512981642479035
Gobius_vittatus	-2.062500358403055
Trypauchen_vagina	-1.3064313055902057
Dascyllus_aruanus	-1.466907490755412
Mormyrus_kannume	0.8980930454608288
Scorpaena_notata	-0.3145411801035939
Megalaspis_cordyla	-0.1576308284232156
Muraenesox_bagio	1.479673691828539
Epinephelus_fuscoguttatus	0.977722163751082
Morone_saxatilis	0.95021499438899
Cephalopholis_cruentata	-0.2272365737558022
Diplodus_sargus	-0.4030339669646114
Carcharhinus_leucas	4.768142234860505
Pelobates_cultripes	-0.5729874283826243
